iter	Logloss
0	0.5352586298
1	0.4040268035
2	0.3212728831
3	0.277847274
4	0.2441199052
5	0.2151027994
6	0.1967585351
7	0.1834917067
8	0.1730810315
9	0.1666594514
10	0.158041461
11	0.1532585947
12	0.1479325606
13	0.1441692461
14	0.1405845704
15	0.1377168254
16	0.135871437
17	0.1337272525
18	0.1309912658
19	0.1290364806
20	0.127287876
21	0.1255840087
22	0.1232051714
23	0.1219630981
24	0.1205059672
25	0.119718988
26	0.1186079428
27	0.117478224
28	0.1162380682
29	0.1148372162
30	0.113328202
31	0.1121683343
32	0.1101337537
33	0.1089120105
34	0.1084031736
35	0.1072755722
36	0.1066362116
37	0.1056776628
38	0.1049227397
39	0.104230358
40	0.1033011165
41	0.1021534851
42	0.1018157768
43	0.1010716388
44	0.1003645524
45	0.09985984538
46	0.09848293514
47	0.09800810091
48	0.09720532237
49	0.09684705004
50	0.09630906317
51	0.09575398606
52	0.09507283906
53	0.09445589417
54	0.09417874287
55	0.09374103604
56	0.09343722758
57	0.0924450974
58	0.0920684021
59	0.09169041769
60	0.09135429425
61	0.0911203634
62	0.09073849908
63	0.09046780678
64	0.08994342795
65	0.08959970264
66	0.08902551209
67	0.08886679419
68	0.08862382108
69	0.08846652439
70	0.08828630932
71	0.08796007694
72	0.08762190493
73	0.08734497513
74	0.0870398039
75	0.08629950512
76	0.08612696148
77	0.0858969593
78	0.08556654439
79	0.08529927497
80	0.08505804352
81	0.08486439312
82	0.08461906435
83	0.0844019911
84	0.08426350105
85	0.08394620403
86	0.08384170772
87	0.0836582079
88	0.08351520379
89	0.08329691108
90	0.08307648346
91	0.08277534286
92	0.08225488549
93	0.08214469818
94	0.08201688016
95	0.08188133854
96	0.08168941925
97	0.08146873295
98	0.08123438987
99	0.08102672675
100	0.08078204681
101	0.08053403651
102	0.08031542429
103	0.0801564429
104	0.08005072892
105	0.07991881307
106	0.07981233797
107	0.07957035114
108	0.07947614599
109	0.07934228284
110	0.07896337563
111	0.07874763251
112	0.07864626165
113	0.07849142809
114	0.07822938719
115	0.07803144066
116	0.07787218365
117	0.07768012121
118	0.07754389645
119	0.0774070439
120	0.07723829051
121	0.07696354129
122	0.07685443209
123	0.07655513553
124	0.07639403217
125	0.0763490792
126	0.07624395862
127	0.07612106796
128	0.07589683226
129	0.07570170032
130	0.0756120871
131	0.07556441653
132	0.07544628861
133	0.07531048778
134	0.07513589304
135	0.07509465312
136	0.07498379094
137	0.07490755213
138	0.07474046838
139	0.0745201866
140	0.07445885762
141	0.07422364069
142	0.07418003709
143	0.07395520282
144	0.07380102347
145	0.07369326308
146	0.07354835209
147	0.07346081241
148	0.07338674065
149	0.0733275608
150	0.07325238063
151	0.0731361142
152	0.07301256203
153	0.07285131589
154	0.07271807376
155	0.0726054504
156	0.07251355558
157	0.07242174205
158	0.07235686078
159	0.07217142275
160	0.07205584664
161	0.07201162828
162	0.07190864668
163	0.07178807499
164	0.07174284378
165	0.07169212562
166	0.07162835068
167	0.07160065514
168	0.07153637276
169	0.07141735542
170	0.0713471309
171	0.07129675205
172	0.07117158369
173	0.07096540116
174	0.07089184341
175	0.07081225649
176	0.07075673163
177	0.07063930003
178	0.07046504556
179	0.07037814382
180	0.07028415731
181	0.07018756975
182	0.07009316553
183	0.0699641175
184	0.06987619666
185	0.0697477728
186	0.06968369724
187	0.06951586861
188	0.06935438138
189	0.06929601466
190	0.06925051236
191	0.06914364642
192	0.06910875575
193	0.0690785872
194	0.0690380536
195	0.06888673918
196	0.06882703851
197	0.06876983369
198	0.06868669661
199	0.06861497556
200	0.06847266118
201	0.06832656723
202	0.06819471677
203	0.06801960604
204	0.06794329872
205	0.0677879802
206	0.06761396227
207	0.06748107086
208	0.06740091427
209	0.06730673347
210	0.06721552739
211	0.06714176659
212	0.06702159696
213	0.06691518851
214	0.06684386798
215	0.06672820311
216	0.06663286971
217	0.0665340846
218	0.06651686982
219	0.06641905635
220	0.06638815377
221	0.06624913698
222	0.06613536668
223	0.06611659485
224	0.06607711451
225	0.0660600646
226	0.06599790394
227	0.0658430541
228	0.06575767767
229	0.06568431378
230	0.06557487519
231	0.06551072589
232	0.0654130888
233	0.06529406903
234	0.06528335964
235	0.06524173898
236	0.06520688961
237	0.06511222738
238	0.06500186297
239	0.064852754
240	0.06480579111
241	0.06476239223
242	0.06467973519
243	0.06455031304
244	0.06444145018
245	0.06436059423
246	0.06425956609
247	0.06417291298
248	0.0640884858
249	0.06397912635
250	0.06388855234
251	0.06382886507
252	0.06370685374
253	0.06365267047
254	0.06358724915
255	0.06345780335
256	0.0633505927
257	0.06326632198
258	0.06316929744
259	0.06310145939
260	0.06304323658
261	0.06294092717
262	0.06289037736
263	0.06286429508
264	0.0628375986
265	0.06271823647
266	0.06263401662
267	0.06252248856
268	0.06245517622
269	0.06241207109
270	0.0623841876
271	0.06236501979
272	0.06230565758
273	0.06220859551
274	0.06207368532
275	0.06201387112
276	0.06188996952
277	0.06185542764
278	0.06175734751
279	0.06171609541
280	0.06165460841
281	0.06155969064
282	0.06149344553
283	0.06137854106
284	0.06133140354
285	0.06119864138
286	0.0611695836
287	0.06109110167
288	0.06104094453
289	0.06096790469
290	0.06086968706
291	0.06078157156
292	0.06074202432
293	0.06068912258
294	0.06059153474
295	0.0605546984
296	0.06047422527
297	0.06043924175
298	0.06031787946
299	0.06026617761
